aa,0.14262464967927485
ab,-0.18711675969088917
ac,0.004292874924980132
ad,-0.04158954318397807
be,0.011713994215075522
bf,0.002458254231352123
bg,-0.03779855070521827
bh,3.1213583448951603
ca,-0.08331265745588876
cb,-0.09639993841033989
ci,-0.0677810998792156
cj,0.06794984161604649
dc,-0.13387721712359302
dd,0.05416532750101113
de,-0.11579338087253248
df,-0.04931261898040325
eg,-0.026059981406889688
eh,0.043472270567269294
ei,0.053136177920626276
ej,0.08190874560017289
fa,0.05765901452427918
fb,-0.017932071655955454
fc,-0.015173500149841868
fd,2.1121344483132667
ge,-0.12119526212184634
gf,0.03218063780542948
gg,0.1254683143689576
gh,8.556236511007866
hi,-0.1714525541799219
hj,-0.04694008654241804
bias,-7.800267927074958